item_id|item_revision_id|object_type|CLASS_ID|CLASS_NAME|Blade Tip stacking|Blade code|Blade layout|Cost Factor|Degree °|Drive Type|Fan Layout Application|Green Factor|Hub axial depth|Hub diameter|Lip|Lip shape|Max diameter|Max. Blade-hub radius|Max. Blade-tip radius|Min. Blade-gap|Moments of Inertia (Iz)|Motor-Blade position|Nominal diameter|Number of blades|Recommendation - Americas|Recommendation - Asia|Recommendation - Europe|Ring|Ring axial depth|Ring thickness|Rotation|Technical Recommendation|Type
1111-5YY0197|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280683|Asymmetric||48.2 55 46.6 59.1 42.9 56.1 52.1|3 M5x120° ?100mm ?117mm|Downstream||43.00|192.00|Yes|VW|529.00|8.00|1.00|0.00|25167|8.39|520.00|7||||Yes|27.00|3.00|CCW||Axial
1111-5YY0197|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280683|Asymmetric||48.2 55 46.6 59.1 42.9 56.1 52.1|3 M5x120° ?100mm ?117mm|Downstream||43.00|192.00|Yes|VW|529.00|8.00|1.00|0.00|25167|8.39|520.00|7||||Yes|27.00|3.00|CCW||Axial
1111-5YY0200|03-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CW||Axial
1111-5YY0200|05-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CW||Axial
1111-5YY0200|01-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CW||Axial
1111-5YY0200|04-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7||||Yes|24.60|2.50|CW||Axial
1111-5YY0372|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280847|Symmetric|||M5 Milled ?6.5mm shaft to Sintered|Upstream||31.00|147.70|Yes|LOV|400.00||||8655|3.00|384.00|10||||Yes|22.00|2.50|CW||Axial
1111-5YY0177|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric||0|3 M5x120° ?100mm|Upstream||48.50|167.00|Yes||460.00|2.00|1.50|0.00|0|5.26|440.00|8||||Yes|35.00|2.50|CW||Axial
1111-5YY0177|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric||0|3 M5x120° ?100mm|Upstream||48.50|167.00|Yes||460.00|2.00|1.50|0.00|0|5.26|440.00|8||||Yes|35.00|2.50|CW||Axial
1111-5YY0218|03-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric||56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream||42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|28100|0.00|520.00|7||||Yes|24.60|2.50|CCW||Axial
