item_id|item_revision_id|object_type|CLASS_ID|CLASS_NAME|Blade Tip stacking|Blade code|Blades layout|Degree °|Drive Type|Fan Layout Application|Hub axial depth|Hub diameter|Lip|Lip shape|Max diameter|Max. Blade-hub radius|Max. Blade-tip radius|Min. Blade-gap|Moments of Inertia  (Iz)|Motor-blade position|Nominal diameter|Numbers of blades|Ring|Ring axial depth|Ring thickness|Rotation|Type
8250016|00|825|825-914|Fan||8250016/1||0||Upstream|42.00|124.00|No||305.00|0.00|0.00|0.00|0|0.00|305.00|6|No|0.00|0.00|CCW|Axial
8250020|00|825|825-914|Fan||8250001/1||0||Upstream|19.60|70.00|No||190.00|0.00|0.00|0.00|0|0.00|190.00|5|No|0.00|0.00|CCW|Axial
8250021|00|825|825-914|Fan||8250016/1||0||Upstream|42.00|124.00|No||305.00|0.00|0.00|0.00|0|0.00|305.00|6|No|0.00|0.00|CCW|Axial
8250017|00|825|825-914|Fan||8250001/1||0||Upstream|37.00|72.00|No||190.00|0.00|0.00|0.00|0|0.00|190.00|5|No|0.00|0.00|CCW|Axial
8250018|00|825|825-914|Fan|RADIAL|0|Symmetric|0|Seeger and Ø2.5 pin on Ø10mm shaft|Upstream|45.00|124.00|No||305.00|1.50|0.00|0.00|0|0.00|305.00|6|No|0.00|0.00|CW|Axial
8250037|00|825|825-914|Fan||8250036/1||0||Upstream|37.00|70.00|No||188.00|0.00|0.00|0.00|0|0.00|188.00|5|No|0.00|0.00|CCW|Axial
8250090|12-|825|825-914|Fan|FW|8280294|Symmetric|0|3 M5x120° Ø95mm Ø104mm|Upstream|35.50|180.20|Yes||488.00|0.50|0.50|0.00|0|6.90|460.00|6|Yes|22.00|2.50|CW|Axial
8250090|13-|825|825-914|Fan|FW|8280294|Symmetric|0|3 M5x120° Ø95mm Ø104mm|Upstream|35.50|180.20|Yes||488.00|0.50|0.50|0.00|0|6.90|460.00|6|Yes|22.00|2.50|CW|Axial
8250090|11|825|825-914|Fan|FW|8280294|Symmetric|0|3 M5x120° Ø95mm Ø104mm|Upstream|37.00|180.00|Yes||488.00|0.00|0.00|0.00|0|0.00|460.00|6|Yes|22.00|2.50|CW|Axial
8250170|00-|825|825-914|Fan|BW|8280545|Asymmetric|38.92 41.46 41.4 38.91 38.93 38.93 43.61 38.51 39.32|3 M5x120° Ø100mm|Upstream|38.70|202.00|Yes||519.00|2.50|0.00|0.00|0|6.18|510.00|9|Yes|20.00|2.80|CW|Axial
