item_id|item_revision_id|object_type|CLASS_ID|CLASS_NAME|Blade Tip stacking|Blade code|Blade layout|Degree °|Drive Type|Fan Layout Application|Hub axial depth|Hub diameter|Lip|Lip shape|Max diameter|Max. Blade-hub radius|Max. Blade-tip radius|Min. Blade-gap|Moments of Inertia (Iz)|Motor-Blade position|Nominal diameter|Number of blades|Ring|Ring axial depth|Ring thickness|Rotation|Type
1111-5YY0200|00-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CW|Axial
1111-5YY0197|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280683|Asymmetric|48.2 55 46.6 59.1 42.9 56.1 52.1|3 M5x120° ?100mm ?117mm|Downstream|43.00|192.00|Yes|VW|529.00|8.00|1.00|0.00|25167|8.39|520.00|7|Yes|27.00|3.00|CCW|Axial
1111-5YY0197|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280683|Asymmetric|48.2 55 46.6 59.1 42.9 56.1 52.1|3 M5x120° ?100mm ?117mm|Downstream|43.00|192.00|Yes|VW|529.00|8.00|1.00|0.00|25167|8.39|520.00|7|Yes|27.00|3.00|CCW|Axial
1111-5YY0200|03-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CW|Axial
1111-5YY0200|05-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CW|Axial
1111-5YY0200|01-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CW|Axial
1111-5YY0200|04-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CW|Axial
1111-5YY0214|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280735|Asymmetric|50 46.8 42.6 42.1 46.2 50.9 40.6 40.8|M5 Milled ?6.5mm shaft to Sintered|Upstream|46.90|150.00|Yes||406.00|5.00|3.00|0.00|102812|6.50|390.00|8|Yes|2.00|2.00|CW|Axial
1111-5YY0214|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280735|Asymmetric|50 46.8 42.6 42.1 46.2 50.9 40.6 40.8|M5 Milled ?6.5mm shaft to Sintered|Upstream|46.90|150.00|Yes||406.00|5.00|3.00|0.00|102812|6.50|390.00|8|Yes|2.00|2.00|CW|Axial
1111-5YY0372|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280847|Symmetric||M5 Milled ?6.5mm shaft to Sintered|Upstream|31.00|147.70|Yes|L|400.00||||8655|3.00|384.00|10|Yes|22.00|2.50|CW|Axial
1111-5YY0148|03-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280512|Asymmetric|53.8 48.01 50.58 55.23 50.5 48.01 53.8|M6 Milled ?8mm shaft|Upstream|35.80|125.10|Yes||395.00|2.50|2.00|0.00|45140|8.45|384.00|7|Yes|18.00|2.50|CW|Axial
1111-5YY0148|02a|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280512|Asymmetric|53.8 48.01 50.58 55.23 50.5 48.01 53.8|M6 Milled ?8mm shaft|Upstream|35.80|125.10|Yes||395.00|2.50|2.00|0.00|0|8.45|384.00|7|Yes|18.00|2.50|CW|Axial
1111-5YY0320|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280735|Symmetric|0|M6 Milled ?8mm shaft|Upstream|35.00|128.50|Yes||356.00|5.00|1.50|0.00|6382|8.00|340.00|8|Yes|27.00|2.50|CW|Axial
1111-5YY0320|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280735|Symmetric|0|M6 Milled ?8mm shaft|Upstream|35.00|128.50|Yes||356.00|5.00|1.50|0.00|6382|8.00|340.00|8|Yes|27.00|2.50|CW|Axial
1111-5YY0177|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric|0|3 M5x120° ?100mm|Upstream|48.50|167.00|Yes||460.00|2.00|1.50|0.00|0|5.26|440.00|8|Yes|35.00|2.50|CW|Axial
1111-5YY0177|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric|0|3 M5x120° ?100mm|Upstream|48.50|167.00|Yes||460.00|2.00|1.50|0.00|0|5.26|440.00|8|Yes|35.00|2.50|CW|Axial
1111-5YY0218|03-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|28100|0.00|520.00|7|Yes|24.60|2.50|CCW|Axial
1111-5YY0218|03a|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Upstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|28100|0.00|520.00|7|Yes|24.60|2.50|CW|Axial
1111-5YY0214|02-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280735|Asymmetric|40.8 40.6 50.9 46.2 42.1 42.6 46.8 48.4|2 piatti 10|Upstream|2.00|150.00|Yes||406.00|2.00|2.00|0.00|10184|1.90|390.00|8|Yes|2.00|2.00|CW|Axial
1111-5YY0214|03-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280735|Asymmetric|40.8 40.6 50.9 46.2 42.1 42.6 46.8 48.4|2 piatti 10|Upstream|2.00|150.00|Yes||406.00|2.00|2.00|0.00|10184|190.00|390.00|8|Yes|2.00|2.00|CW|Axial
1111-5YY0319|01-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric|0|3 M5x120° ?100mm ?117mm|Upstream|45.00|167.00|Yes||460.00|2.00|1.50|0.00|20104|5.20|440.00|8|Yes|35.00|2.50|CW|Axial
1111-5YY0319|02-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric|0|3 M5x120° ?100mm ?117mm|Upstream|45.00|167.00|Yes||460.00|2.00|1.50|0.00|20104|5.20|440.00|8|Yes|35.00|2.50|CW|Axial
1111-5YY0319|00-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280356|Symmetric|0|3 M5x120° ?100mm ?117mm|Upstream|45.00|167.00|Yes||460.00|2.00|1.50|0.00|20104|5.26|440.00|8|Yes|35.00|2.50|CW|Axial
1111-5YY0200|02-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CW|Axial
1111-5YY0218|01-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CCW|Axial
1111-5YY0218|02-|LT4_JECAD|ICM0102023202|CFM Fan|BW|8280634|Asymmetric|56.15 52.06 48.23 54.98 46.61 59.09 42.88|3 M5x120° ?100mm ?117mm|Downstream|42.67|190.00|Yes|VW|530.00|5.00|1.00|0.00|25212|0.00|520.00|7|Yes|24.60|2.50|CCW|Axial
1111-5YY0148|04-|LT4_JECAD|ICM0102023202|CFM Fan|FW|8280512|Asymmetric|53.8 48.01 50.58 55.23 50.5 48.01 53.8|M6 Milled ?8mm shaft|Upstream|35.80|125.10|Yes||395.00|2.50|2.00|0.00|45140|8.45|384.00|7|Yes|18.00|2.50|CW|Axial
